country,alpha_2_code,alpha_3_code,Indicator,Year,Value_in_percentage%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2001,24.55%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2002,24.24%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2003,23.93%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2004,22.81%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2005,21.71%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2006,20.63%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2007,19.57%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2008,18.52%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2009,17.49%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2010,16.47%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2011,15.48%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2012,14.50%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2013,13.53%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2014,12.59%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2015,11.66%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2016,10.75%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2017,9.86%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2018,9.76%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2019,9.66%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2020,9.56%
Congo,CG,COG,Proportion of population using unimproved drinking water sources,2021,9.46%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2000,0.14%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2001,0.13%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2002,0.12%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2003,0.12%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2004,0.11%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2005,0.11%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2006,0.10%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2007,0.09%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2008,0.09%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2009,0.08%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2010,0.08%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2011,0.07%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2012,0.06%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2013,0.06%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2014,0.05%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2015,0.05%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2016,0.04%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2017,0.03%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2018,0.03%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2019,0.03%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2020,0.03%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2021,0.03%
Cook Islands,CK,COK,Proportion of population using unimproved drinking water sources,2022,0.03%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2000,2.20%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2001,2.02%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2002,1.85%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2003,1.69%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2004,1.53%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2005,1.38%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2006,1.24%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2007,1.10%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2008,0.98%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2009,0.85%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2010,0.74%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2011,0.63%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2012,0.52%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2013,0.43%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2014,0.33%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2015,0.25%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2016,0.17%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2017,0.08%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2020,0.00%
Costa Rica,CR,CRI,Proportion of population using unimproved drinking water sources,2021,0.00%
Croatia,HR,HRV,Proportion of population using unimproved drinking water sources,2000,0.95%
Croatia,HR,HRV,Proportion of population using unimproved drinking water sources,2001,0.95%
Croatia,HR,HRV,Proportion of population using unimproved drinking water sources,2002,0.94%
Croatia,HR,HRV,Proportion of population using unimproved drinking water sources,2003,0.94%
Croatia,HR,HRV,Proportion of population using unimproved drinking water sources,2004,0.94%
Croatia,HR,HRV,Proportion of population using unimproved drinking water sources,2005,0.93%
Croatia,HR,HRV,Proportion of population using unimproved drinking water sources,2006,0.93%
Croatia,HR,HRV,Proportion of population using unimproved drinking water sources,2007,0.93%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2000,4.53%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2001,4.39%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2002,4.26%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2003,4.14%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2004,4.03%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2005,3.92%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2006,3.81%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2007,3.70%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2008,3.60%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2009,3.49%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2010,3.38%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2011,3.28%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2012,3.18%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2013,3.08%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2014,2.98%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2015,2.88%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2016,2.78%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2017,2.68%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2018,2.58%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2019,2.48%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2020,2.39%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2021,2.29%
Cuba,CU,CUB,Proportion of population using unimproved drinking water sources,2022,2.17%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2000,0.07%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2001,0.07%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2002,0.07%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2003,0.08%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2004,0.09%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2005,0.10%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2006,0.10%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2007,0.11%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2008,0.12%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2009,0.13%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2010,0.13%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2011,0.14%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2012,0.15%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2013,0.16%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2014,0.17%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2015,0.17%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2016,0.18%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2017,0.19%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2018,0.20%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2019,0.20%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2020,0.20%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2021,0.20%
Cyprus,CY,CYP,Proportion of population using unimproved drinking water sources,2022,0.20%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2000,0.14%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2001,0.14%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2002,0.14%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2003,0.13%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2004,0.13%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2005,0.12%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2006,0.11%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2007,0.11%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2008,0.10%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2009,0.10%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2010,0.09%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2011,0.09%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2012,0.08%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2013,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2014,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2015,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2016,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2017,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2018,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2019,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2020,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2021,0.07%
Czech Republic,CZ,CZE,Proportion of population using unimproved drinking water sources,2022,0.07%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2000,15.22%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2001,15.21%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2002,15.15%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2003,15.07%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2004,14.98%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2005,14.90%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2006,14.82%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2007,14.73%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2008,14.65%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2009,14.56%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2010,14.47%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2011,14.39%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2012,14.30%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2013,14.22%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2014,14.13%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2015,14.04%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2016,13.95%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2017,13.86%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2018,13.77%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2019,13.67%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2020,13.58%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2021,13.42%
Ivory Coast,CI,CIV,Proportion of population using unimproved drinking water sources,2022,13.36%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2000,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2001,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2003,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2004,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2005,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2009,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2010,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2011,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2012,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2013,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2014,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2016,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2017,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2020,0.00%
Denmark,DK,DNK,Proportion of population using unimproved drinking water sources,2021,0.00%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2000,8.77%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2001,8.69%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2002,8.60%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2003,8.51%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2004,8.43%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2005,8.34%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2006,8.25%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2007,8.16%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2008,8.07%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2009,7.99%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2010,7.90%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2011,7.80%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2012,7.70%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2013,7.60%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2014,7.50%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2015,7.39%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2016,7.29%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2017,7.17%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2018,7.06%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2019,6.94%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2020,6.89%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2021,6.85%
Djibouti,DJ,DJI,Proportion of population using unimproved drinking water sources,2022,6.80%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2000,6.17%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2001,6.05%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2002,5.92%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2003,5.80%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2004,5.68%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2005,5.56%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2006,5.44%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2007,5.31%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2008,5.19%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2009,5.07%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2010,4.95%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2011,4.82%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2012,4.70%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2013,4.58%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2014,4.58%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2015,4.58%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2016,4.58%
Dominica,DM,DMA,Proportion of population using unimproved drinking water sources,2017,4.58%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2000,3.27%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2001,3.13%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2002,3.00%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2003,2.85%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2004,2.71%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2005,2.57%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2006,2.44%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2007,2.32%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2008,2.20%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2009,2.10%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2010,2.00%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2011,1.91%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2012,1.83%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2013,1.75%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2014,1.68%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2015,1.62%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2016,1.55%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2017,1.50%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2018,1.45%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2019,1.40%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2020,1.36%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2021,1.32%
Dominican Republic,DO,DOM,Proportion of population using unimproved drinking water sources,2022,1.29%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2000,8.70%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2001,8.06%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2002,7.42%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2003,7.10%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2004,6.78%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2005,6.45%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2006,6.13%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2007,5.80%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2008,5.47%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2009,5.14%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2010,4.80%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2011,4.47%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2012,4.13%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2013,3.80%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2014,3.46%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2015,3.12%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2016,2.78%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2017,2.66%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2018,2.65%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2019,2.63%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2020,2.60%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2021,2.58%
Ecuador,EC,ECU,Proportion of population using unimproved drinking water sources,2022,2.57%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2000,1.06%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2001,1.05%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2002,1.05%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2003,1.04%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2004,1.04%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2005,1.04%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2006,1.03%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2007,1.03%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2008,1.03%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2009,1.02%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2010,1.02%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2011,1.01%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2012,1.01%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2013,1.01%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2014,1.00%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2015,1.00%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2016,1.00%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2017,0.99%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2018,0.99%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2019,0.99%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2020,0.98%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2021,0.98%
Egypt,EG,EGY,Proportion of population using unimproved drinking water sources,2022,0.98%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2000,8.94%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2001,8.87%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2002,8.29%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2003,7.72%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2004,7.17%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2005,6.62%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2006,6.08%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2007,5.55%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2008,4.99%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2009,4.46%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2010,3.94%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2011,3.43%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2012,2.94%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2013,2.47%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2014,2.01%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2015,1.56%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2016,1.13%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2017,0.71%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2018,0.30%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2019,0.04%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2020,0.00%
El Salvador,SV,SLV,Proportion of population using unimproved drinking water sources,2021,0.00%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2000,15.06%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2001,16.65%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2002,18.11%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2003,19.45%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2004,20.67%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2005,21.76%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2006,22.74%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2007,23.59%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2008,24.32%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2009,24.94%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2010,25.45%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2011,25.86%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2012,26.16%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2013,26.63%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2014,26.48%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2015,26.33%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2016,26.18%
Equatorial Guinea,GQ,GNQ,Proportion of population using unimproved drinking water sources,2017,26.04%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2000,27.80%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2001,26.49%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2002,25.20%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2003,23.93%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2004,22.68%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2005,21.46%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2006,20.26%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2007,19.08%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2008,17.93%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2009,16.89%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2010,15.87%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2011,14.86%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2012,13.87%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2013,13.77%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2014,13.66%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2015,13.56%
Eritrea,ER,ERI,Proportion of population using unimproved drinking water sources,2016,13.45%
Estonia,EE,EST,Proportion of population using unimproved drinking water sources,2000,2.64%
Estonia,EE,EST,Proportion of population using unimproved drinking water sources,2001,2.48%
Estonia,EE,EST,Proportion of population using unimproved drinking water sources,2002,2.31%
Estonia,EE,EST,Proportion of population using unimproved drinking water sources,2003,2.15%
Estonia,EE,EST,Proportion of population using unimproved drinking water sources,2004,1.99%
Estonia,EE,EST,Proportion of population using unimproved drinking water sources,2005,1.82%
Estonia,EE,EST,Proportion of population using unimproved drinking water sources,2006,1.66%
Estonia,EE,EST,Proportion of population using unimproved drinking water sources,2007,1.49%
